1,Crown Station,3629 N. Davidson,28205,noda,Neighborhood,Cocktails,https://crownstationpub.com/,704-910-2249,1
2,Growlers Pourhouse,3120 N. Davidson,28205,noda,Neighborhood,,http://growlerspourhouse.com/,704-901-6566,1
3,JackBeagle's,3213 N. Davidson,28205,noda,Neighborhood,,http://www.jackbeagles.com/,704-334-5140,1
4,Solstice,3221 N. Davidson,28205,noda,Neighborhood,Outdoor,http://www.solsticetavern.com/,704-342-2556,1
5,noda Co. Store,3221 Yadkin Ave,28205,noda,Neighborhood,Music Hall,https://www.thecompanystorenoda.com/,980-859-0441,1
6,noda 101,3205 N. Davidson,28205,noda,Neighborhood,Music Hall,http://noda101.com/,980-729-8019,1
7,Sanctuary,507 E 36th St.,28205,noda,Neighborhood,,https://m.facebook.com/thesanctuarypub/,704-331-9797,1
8,Dog Bar,3307 N. Davidson,28205,noda,Neighborhood,Oudoor,http://www.dogbarcharlotte.net/,704-370-3595,1
9,Blind Pig,453 E 36th St.,28205,noda,Neighborhood,Games,http://www.theblindpignoda.com/home/,980-819-9942,1
10,Abari Game Bar,1721 N. Davidson,28205,noda,Neighborhood,Games,http://www.abarigamebar.com/,980-430-4587,1
11,Billy Jack's Shack,3220 N. Davidson,28205,noda,Neighborhood,,https://www.billyjacksshack.com/,704-817-8231,1
12,noda Brewery,2921 N Tryon St.,28205,noda,Brewery,Outdoors,https://nodabrewing.com/,704-900-6851,1
13,Hattie's Tap & Tavern,2918 The Plaza,28205,noda,Neighborhood,Music Hall,http://www.hattiescharlotte.com/,980-938-6228,1
14,Heist Brewery,2909 N. Davidson,28205,noda,Brewery,Cocktail,https://www.heistbrewery.com/,704-375-8260,1
15,Free Range Brewery,2320 N. Davidson,28205,noda,Brewery,Outdoors,http://www.freerangebrewing.com/,980-201-9096,1
16,Birdsong Brewery,1016 N. Davidson,28206,noda,Brewery,Outdoors,http://www.birdsongbrewing.com/,704-332-1810,1
17,Kickstand Burger Bar,1101 Central Ave.,28204,plazamidwood,Neighborhood,,http://kickstandcharlotte.com/,704-332-1010,1
18,Thirsty Beaver,1225 Central Ave.,28204,plazamidwood,Neighborhood,Games,https://m.facebook.com/The-Thirsty-Beaver-Saloon-155129104571598/,704-332-3612,1
19,Moo & Brew,1300 Central Ave.,28204,plazamidwood,Neighborhood,,http://www.mooandbrew.com/,980-585-4148,1
20,Hop Shop,818 Lamar Ave.,28204,plazamidwood,Neighborhood,,http://thehopshopbeer.com/,980-859-7549,1
21,Recess Charlotte,832 Seigle Ave.,28204,plazamidwood,Neighborhood,Music Hall,https://recessclt.com/,704-910-0759,1
22,Catawba Brewery,933 Louise Ave.,28204,plazamidwood,Brewery,Outdoor,https://catawbabrewing.com/,980-498-6145,1
23,Snug Harbor,1228 Gordon St.,28205,plazamidwood,Neighborhood,Music Hall,http://www.snugrock.com/,704-561-1781,1
24,Peculiar Rabbit,1212 Pecan Ave.,28205,plazamidwood,Neighborhood,Outdoor,https://therabbitspot.com/,704-333-9197,1
25,Elizabeth Billiards,1400 Central Ave.,28205,plazamidwood,Neighborhood,Games,N/A,704-342-2663,1
26,Legion Brewing,1906 Commonwealth Ave.,28205,plazamidwood,Brewery,Outdoor,https://legionbrewing.com,844-467-5683,1
27,Thomas St. Tavern,1218 Thomas Ave.,28205,plazamidwood,Neighborhood,Outdoor,https://www.facebook.com/Thomas-Street-Tavern-219397021420603/,704-376-1622,1
28,Workman's Friend,1531 Central Ave.,28205,plazamidwood,Neighborhood,Irish Pub,http://theworkmansfriend.com/,980-224-8234,1
29,Whiskey Warehouse,1221 The Plaza,28205,plazamidwood,Neighborhood,Outdoor,https://www.whiskeywarehouse.com/,704-334-7005,1
30,Midwood Country Club,2123 Central Ave.,28205,plazamidwood,Neighborhood,,N/A,704-777-7622,1
31,Resident Culture,2101 Central Ave.,28205,plazamidwood,Brewery,Outdoors,https://residentculturebrewing.com/,704-333-1862,1
32,Pilot Brewing,1331 Central Ave.,28205,plazamidwood,Brewery,,http://www.pilotbrewing.us/,704-802-9260,1
33,Pint Central,1226 Central Ave.,28204,plazamidwood,Neighborhood,,http://pint-central.com/,980-237-9108,1
34,Pour,1212 Central Ave.,28204,plazamidwood,Neighborhood,,http://www.pourtaproom.com/charlotte/,980-299-8866,1
35,Jackalope Jacks,1801 COmmonwealth Ave.,28205,plazamidwood,Neighborhood,,https://therabbitspot.com/jackalope-jacks/,704-333-9197,1
36,Lebowski's,1524 East Blvd,28203,dilworth,Neighborhood,,http://www.lebowskisgrill.com/,704-370-1177,1
37,dilworth Neighborhood Grille,911 E. Morehead,28204,dilworth,Neighborhood,,http://www.dilworthgrille.com/,704-377-3808,1
38,Bakersfield,1301 East Blvd,28203,dilworth,Neighborhood,Mexican,http://www.bakersfieldtacos.com/,980-938-8565,1
39,Comet Grill,2224 Park Rd.,28203,dilworth,Neighborhood,Music Hall,https://www.cometgrillcharlotte.com/,704-371-4300,1
40,Ed's Tavern,2200 Park Rd.,28203,dilworth,Neighborhood,Games,http://www.edstavern.com/,704-335-0033,1
41,Summit Room,1531 East Blvd,28203,dilworth,Neighborhood,Cocktail,http://www.thesummitrm.com/,980-237-2227,1
42,All American Pub,200 E Bland St.,28203,southend,Neighborhood,Outdoor,http://www.allamericanpubclt.com/,704-370-2000,1
43,Palmer St. Arcade Bar,412 Palmer St.,28203,southend,Neighborhood,Games,https://www.facebook.com/palmerstgamebar,980-309-0359,1
44,Brass Tap,1440 S Tryon St.,28203,southend,Neighborhood,Music Hall,https://www.brasstapbeerbar.com/Charlotte,704-817-7010,1
45,The Gin Mill,1423 S Tryon St.,28203,southend,Neighborhood,Music Hall,http://www.ginmillsouthend.com/,704-373-0782,1
46,Tyber Creek Pub,1933 South Blvd.,28203,southend,Neighborhood,Irish Pub,https://www.tybercreek.com/,704-343-2727,1
47,The Brickyard,1411 S Tryon St.,28203,southend,Neighborhood,,https://www.facebook.com/thebrickyardclt/,980-938-6990,1
48,Tavern on the Tracks,1411 S Tryon St.,28203,southend,Neighborhood,Outdoor,https://tavernonthetracks.com/menu/,704-372-0782,1
49,Hoppin',1402 Winnifred St.,28203,southend,Neighborhood,Outdoor,https://www.hoppinclt.com/,704-998-9264,1
50,Seoul Food Meat Co.,1400 S Church St.,28203,southend,Neighborhood,Outdoor,http://www.seoulfoodmeatco.com/,980-299-5143,1
51,Big Ben,2000 South Blvd,28203,southend,Neighborhood,,https://www.bigbenpub.com/,704-817-9697,1
52,Rosemont,1714 South Blvd,28203,southend,Neighborhood,,http://www.rosemontbar.com/,704-370-2729,1
53,Leroy Fox,1616 Camde Rd.,28203,southend,Cocktail,,http://leroysouthend.com/,980-999-5101,1
54,Slate Charlotte,200 E Bland St.,28203,southend,Neighborhood,Music Halll,https://www.slateclt.com/,704-372-5255,1
55,Mac's Speed Shop,2511 South Blvd,28203,southend,Neighborhood,,https://macspeedshop.com/,704-522-6227,1
56,Good Bottle Co,125 Remount Rd.,28203,southend,Neighborhood,,https://www.instagram.com/goodbottleco/,704-527-1003,1
57,Harris Teeter,2717 South Blvd,28203,southend,Neighborhood,,N/A,704-527-1018,1
58,Sycamore Brewing,2161 Hawkins St.,28203,southend,Brewery,Outdoor,https://www.sycamorebrew.com/,704-910-3821,1
59,The Unknown Brewing,1327 S Mint St.,28203,southend,Brewery,Outdoor,http://unknownbrewing.com/,980-237-2628,1
60,Olde Mecklenburg Brewery,4150 Yancey Rd,28203,southend,Brewery,Outdoor,https://www.oldemeckbrew.com/,704-525-5644,1
61,Queen Park Social,4125 Yancey Rd.,28203,southend,Neighborhood,Games,https://www.queenparksocial.com/,980-819-5626,1
62,Broken Spoke,227 Southside Dr.,28203,southend,Neighborhood,Outdoor,http://www.brokenspokenc.com/,704-469-9540,1
63,Hyde Brewing,2911 Griffith St.,28203,southend,Brewery,Outdoor,http://hydebrewing.com/,704-319-8650,1
64,Triple C Brewing Co.,2900 Griffith St.,28203,southend,Brewery,,http://www.triplecbrewing.com/,704-372-3212,1
65,Wooden Robot,1440 S Tryon St.,28203,southend,Brewery,,http://woodenrobotbrewery.com/,980-819-7875,1
66,Sugar Creek Brewing,215 Southside Dr.,28203,southend,Brewery,Outdoor,https://sugarcreekbrewing.com/,704-521-3333,1
